instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_str,temp_scaled,atemp_scaled,hum_scaled,windspeed_scaled
15,2011-01-01,1,0,1,14,0,6,0,Cloudy,0.46,0.4545,0.72,0.2836,35,71,106,Springer,1.1219512195121952,0.909,0.72,0.42328358208955225
16,2011-01-01,1,0,1,15,0,6,0,Cloudy,0.44,0.4394,0.77,0.2985,40,70,110,Springer,1.0731707317073171,0.8788,0.77,0.4455223880597015
17,2011-01-01,1,0,1,16,0,6,0,Cloudy,0.42,0.4242,0.82,0.2985,41,52,93,Springer,1.024390243902439,0.8484,0.8199999999999998,0.4455223880597015
18,2011-01-01,1,0,1,17,0,6,0,Cloudy,0.44,0.4394,0.82,0.2836,15,52,67,Springer,1.0731707317073171,0.8788,0.8199999999999998,0.42328358208955225
19,2011-01-01,1,0,1,18,0,6,0,Rainy,0.42,0.4242,0.88,0.2537,9,26,35,Springer,1.024390243902439,0.8484,0.88,0.37865671641791043
20,2011-01-01,1,0,1,19,0,6,0,Rainy,0.42,0.4242,0.88,0.2537,6,31,37,Springer,1.024390243902439,0.8484,0.88,0.37865671641791043
21,2011-01-01,1,0,1,20,0,6,0,Cloudy,0.4,0.4091,0.87,0.2537,11,25,36,Springer,0.975609756097561,0.8182,0.8699999999999999,0.37865671641791043
22,2011-01-01,1,0,1,21,0,6,0,Cloudy,0.4,0.4091,0.87,0.194,3,31,34,Springer,0.975609756097561,0.8182,0.8699999999999999,0.2895522388059702
23,2011-01-01,1,0,1,22,0,6,0,Cloudy,0.4,0.4091,0.94,0.2239,11,17,28,Springer,0.975609756097561,0.8182,0.9399999999999998,0.3341791044776119
24,2011-01-01,1,0,1,23,0,6,0,Cloudy,0.46,0.4545,0.88,0.2985,15,24,39,Springer,1.1219512195121952,0.909,0.88,0.4455223880597015
25,2011-01-02,1,0,1,0,0,0,0,Cloudy,0.46,0.4545,0.88,0.2985,4,13,17,Springer,1.1219512195121952,0.909,0.88,0.4455223880597015
26,2011-01-02,1,0,1,1,0,0,0,Cloudy,0.44,0.4394,0.94,0.2537,1,16,17,Springer,1.0731707317073171,0.8788,0.9399999999999998,0.37865671641791043
27,2011-01-02,1,0,1,2,0,0,0,Cloudy,0.42,0.4242,1.0,0.2836,1,8,9,Springer,1.024390243902439,0.8484,1.0,0.42328358208955225
28,2011-01-02,1,0,1,3,0,0,0,Cloudy,0.46,0.4545,0.94,0.194,2,4,6,Springer,1.1219512195121952,0.909,0.9399999999999998,0.2895522388059702
29,2011-01-02,1,0,1,4,0,0,0,Cloudy,0.46,0.4545,0.94,0.194,2,1,3,Springer,1.1219512195121952,0.909,0.9399999999999998,0.2895522388059702
30,2011-01-02,1,0,1,6,0,0,0,Rainy,0.42,0.4242,0.77,0.2985,0,2,2,Springer,1.024390243902439,0.8484,0.77,0.4455223880597015
31,2011-01-02,1,0,1,7,0,0,0,Cloudy,0.4,0.4091,0.76,0.194,0,1,1,Springer,0.975609756097561,0.8182,0.76,0.2895522388059702
32,2011-01-02,1,0,1,8,0,0,0,Rainy,0.4,0.4091,0.71,0.2239,0,8,8,Springer,0.975609756097561,0.8182,0.71,0.3341791044776119
33,2011-01-02,1,0,1,9,0,0,0,Cloudy,0.38,0.3939,0.76,0.2239,1,19,20,Springer,0.9268292682926829,0.7878,0.76,0.3341791044776119
34,2011-01-02,1,0,1,10,0,0,0,Cloudy,0.36,0.3485,0.81,0.2239,7,46,53,Springer,0.8780487804878048,0.697,0.8100000000000002,0.3341791044776119
35,2011-01-02,1,0,1,11,0,0,0,Cloudy,0.36,0.3333,0.71,0.2537,16,54,70,Springer,0.8780487804878048,0.6666,0.71,0.37865671641791043
36,2011-01-02,1,0,1,12,0,0,0,Cloudy,0.36,0.3333,0.66,0.2985,20,73,93,Springer,0.8780487804878048,0.6666,0.66,0.4455223880597015
37,2011-01-02,1,0,1,13,0,0,0,Cloudy,0.36,0.3485,0.66,0.1343,11,64,75,Springer,0.8780487804878048,0.697,0.66,0.20044776119402985
38,2011-01-02,1,0,1,14,0,0,0,Rainy,0.36,0.3485,0.76,0.194,4,55,59,Springer,0.8780487804878048,0.697,0.76,0.2895522388059702
39,2011-01-02,1,0,1,15,0,0,0,Rainy,0.34,0.3333,0.81,0.1642,19,55,74,Springer,0.8292682926829269,0.6666,0.8100000000000002,0.24507462686567164
40,2011-01-02,1,0,1,16,0,0,0,Rainy,0.34,0.3333,0.71,0.1642,9,67,76,Springer,0.8292682926829269,0.6666,0.71,0.24507462686567164
41,2011-01-02,1,0,1,17,0,0,0,Sunny,0.34,0.3333,0.57,0.194,7,58,65,Springer,0.8292682926829269,0.6666,0.57,0.2895522388059702
42,2011-01-02,1,0,1,18,0,0,0,Cloudy,0.36,0.3333,0.46,0.3284,10,43,53,Springer,0.8780487804878048,0.6666,0.45999999999999996,0.49014925373134327
43,2011-01-02,1,0,1,19,0,0,0,Sunny,0.32,0.2879,0.42,0.4478,1,29,30,Springer,0.7804878048780488,0.5758,0.42,0.6683582089552238
44,2011-01-02,1,0,1,20,0,0,0,Sunny,0.3,0.2727,0.39,0.3582,5,17,22,Springer,0.7317073170731707,0.5454,0.39,0.5346268656716419
45,2011-01-02,1,0,1,21,0,0,0,Sunny,0.26,0.2273,0.44,0.3284,11,20,31,Springer,0.6341463414634146,0.45459999999999995,0.44,0.49014925373134327
46,2011-01-02,1,0,1,22,0,0,0,Sunny,0.24,0.2121,0.44,0.2985,0,9,9,Springer,0.5853658536585366,0.4242,0.44,0.4455223880597015
47,2011-01-02,1,0,1,23,0,0,0,Sunny,0.22,0.2273,0.47,0.1642,0,8,8,Springer,0.5365853658536586,0.45459999999999995,0.4699999999999999,0.24507462686567164
48,2011-01-03,1,0,1,0,0,1,1,Sunny,0.22,0.197,0.44,0.3582,0,5,5,Springer,0.5365853658536586,0.394,0.44,0.5346268656716419
49,2011-01-03,1,0,1,1,0,1,1,Sunny,0.2,0.1667,0.44,0.4179,0,2,2,Springer,0.4878048780487805,0.3334,0.44,0.623731343283582
50,2011-01-03,1,0,1,4,0,1,1,Sunny,0.16,0.1364,0.47,0.3881,0,1,1,Springer,0.3902439024390244,0.2728,0.4699999999999999,0.5792537313432835
51,2011-01-03,1,0,1,5,0,1,1,Sunny,0.16,0.1364,0.47,0.2836,0,3,3,Springer,0.3902439024390244,0.2728,0.4699999999999999,0.42328358208955225
52,2011-01-03,1,0,1,6,0,1,1,Sunny,0.14,0.1061,0.5,0.3881,0,30,30,Springer,0.34146341463414637,0.21220000000000003,0.5,0.5792537313432835
53,2011-01-03,1,0,1,7,0,1,1,Sunny,0.14,0.1364,0.5,0.194,1,63,64,Springer,0.34146341463414637,0.2728,0.5,0.2895522388059702
54,2011-01-03,1,0,1,8,0,1,1,Sunny,0.14,0.1212,0.5,0.2836,1,153,154,Springer,0.34146341463414637,0.2424,0.5,0.42328358208955225
55,2011-01-03,1,0,1,9,0,1,1,Sunny,0.16,0.1364,0.43,0.3881,7,81,88,Springer,0.3902439024390244,0.2728,0.43,0.5792537313432835
56,2011-01-03,1,0,1,10,0,1,1,Sunny,0.18,0.1667,0.43,0.2537,11,33,44,Springer,0.4390243902439024,0.3334,0.43,0.37865671641791043
57,2011-01-03,1,0,1,11,0,1,1,Sunny,0.2,0.1818,0.4,0.3284,10,41,51,Springer,0.4878048780487805,0.3636,0.4,0.49014925373134327
58,2011-01-03,1,0,1,12,0,1,1,Sunny,0.22,0.2121,0.35,0.2985,13,48,61,Springer,0.5365853658536586,0.4242,0.35,0.4455223880597015
59,2011-01-03,1,0,1,13,0,1,1,Sunny,0.24,0.2121,0.35,0.2836,8,53,61,Springer,0.5853658536585366,0.4242,0.35,0.42328358208955225
60,2011-01-03,1,0,1,14,0,1,1,Sunny,0.26,0.2424,0.3,0.2836,11,66,77,Springer,0.6341463414634146,0.4848,0.3,0.42328358208955225
61,2011-01-03,1,0,1,15,0,1,1,Sunny,0.26,0.2424,0.3,0.2537,14,58,72,Springer,0.6341463414634146,0.4848,0.3,0.37865671641791043
62,2011-01-03,1,0,1,16,0,1,1,Sunny,0.26,0.2424,0.3,0.2537,9,67,76,Springer,0.6341463414634146,0.4848,0.3,0.37865671641791043
63,2011-01-03,1,0,1,17,0,1,1,Sunny,0.24,0.2273,0.3,0.2239,11,146,157,Springer,0.5853658536585366,0.45459999999999995,0.3,0.3341791044776119
64,2011-01-03,1,0,1,18,0,1,1,Sunny,0.24,0.2576,0.32,0.1045,9,148,157,Springer,0.5853658536585366,0.5152,0.32,0.15597014925373134
65,2011-01-03,1,0,1,19,0,1,1,Sunny,0.2,0.2576,0.47,0.0,8,102,110,Springer,0.4878048780487805,0.5152,0.4699999999999999,0.0
66,2011-01-03,1,0,1,20,0,1,1,Sunny,0.2,0.2273,0.47,0.1045,3,49,52,Springer,0.4878048780487805,0.45459999999999995,0.4699999999999999,0.15597014925373134
67,2011-01-03,1,0,1,21,0,1,1,Sunny,0.18,0.197,0.64,0.1343,3,49,52,Springer,0.4390243902439024,0.394,0.64,0.20044776119402985
68,2011-01-03,1,0,1,22,0,1,1,Sunny,0.14,0.1515,0.69,0.1343,0,20,20,Springer,0.34146341463414637,0.303,0.69,0.20044776119402985
69,2011-01-03,1,0,1,23,0,1,1,Sunny,0.18,0.2121,0.55,0.1045,1,11,12,Springer,0.4390243902439024,0.4242,0.55,0.15597014925373134
70,2011-01-04,1,0,1,0,0,2,1,Sunny,0.16,0.1818,0.55,0.1045,0,5,5,Springer,0.3902439024390244,0.3636,0.55,0.15597014925373134
71,2011-01-04,1,0,1,1,0,2,1,Sunny,0.16,0.1818,0.59,0.1045,0,2,2,Springer,0.3902439024390244,0.3636,0.59,0.15597014925373134
72,2011-01-04,1,0,1,2,0,2,1,Sunny,0.14,0.1515,0.63,0.1343,0,1,1,Springer,0.34146341463414637,0.303,0.63,0.20044776119402985
73,2011-01-04,1,0,1,4,0,2,1,Sunny,0.14,0.1818,0.63,0.0896,0,2,2,Springer,0.34146341463414637,0.3636,0.63,0.1337313432835821
74,2011-01-04,1,0,1,5,0,2,1,Sunny,0.12,0.1515,0.68,0.1045,0,4,4,Springer,0.2926829268292683,0.303,0.68,0.15597014925373134
75,2011-01-04,1,0,1,6,0,2,1,Sunny,0.12,0.1515,0.74,0.1045,0,36,36,Springer,0.2926829268292683,0.303,0.74,0.15597014925373134
76,2011-01-04,1,0,1,7,0,2,1,Sunny,0.12,0.1515,0.74,0.1343,2,92,94,Springer,0.2926829268292683,0.303,0.74,0.20044776119402985
77,2011-01-04,1,0,1,8,0,2,1,Sunny,0.14,0.1515,0.69,0.1642,2,177,179,Springer,0.34146341463414637,0.303,0.69,0.24507462686567164
78,2011-01-04,1,0,1,9,0,2,1,Sunny,0.16,0.1515,0.64,0.2239,2,98,100,Springer,0.3902439024390244,0.303,0.64,0.3341791044776119
79,2011-01-04,1,0,1,10,0,2,1,Cloudy,0.16,0.1364,0.69,0.3284,5,37,42,Springer,0.3902439024390244,0.2728,0.69,0.49014925373134327
80,2011-01-04,1,0,1,11,0,2,1,Sunny,0.22,0.2121,0.51,0.2985,7,50,57,Springer,0.5365853658536586,0.4242,0.51,0.4455223880597015
81,2011-01-04,1,0,1,12,0,2,1,Sunny,0.22,0.2273,0.51,0.1642,12,66,78,Springer,0.5365853658536586,0.45459999999999995,0.51,0.24507462686567164
82,2011-01-04,1,0,1,13,0,2,1,Sunny,0.24,0.2273,0.56,0.194,18,79,97,Springer,0.5853658536585366,0.45459999999999995,0.56,0.2895522388059702
83,2011-01-04,1,0,1,14,0,2,1,Sunny,0.26,0.2576,0.52,0.2239,9,54,63,Springer,0.6341463414634146,0.5152,0.52,0.3341791044776119
84,2011-01-04,1,0,1,15,0,2,1,Sunny,0.28,0.2727,0.52,0.2537,17,48,65,Springer,0.6829268292682927,0.5454,0.52,0.37865671641791043
85,2011-01-04,1,0,1,16,0,2,1,Sunny,0.3,0.2879,0.49,0.2537,15,68,83,Springer,0.7317073170731707,0.5758,0.49,0.37865671641791043
86,2011-01-04,1,0,1,17,0,2,1,Sunny,0.28,0.2727,0.48,0.2239,10,202,212,Springer,0.6829268292682927,0.5454,0.48,0.3341791044776119
87,2011-01-04,1,0,1,18,0,2,1,Sunny,0.26,0.2576,0.48,0.194,3,179,182,Springer,0.6341463414634146,0.5152,0.48,0.2895522388059702
88,2011-01-04,1,0,1,19,0,2,1,Sunny,0.24,0.2576,0.48,0.1045,2,110,112,Springer,0.5853658536585366,0.5152,0.48,0.15597014925373134
89,2011-01-04,1,0,1,20,0,2,1,Sunny,0.24,0.2576,0.48,0.1045,1,53,54,Springer,0.5853658536585366,0.5152,0.48,0.15597014925373134
90,2011-01-04,1,0,1,21,0,2,1,Sunny,0.22,0.2727,0.64,0.0,0,48,48,Springer,0.5365853658536586,0.5454,0.64,0.0
91,2011-01-04,1,0,1,22,0,2,1,Sunny,0.22,0.2576,0.64,0.0896,1,34,35,Springer,0.5365853658536586,0.5152,0.64,0.1337313432835821
92,2011-01-04,1,0,1,23,0,2,1,Sunny,0.2,0.2273,0.69,0.0896,2,9,11,Springer,0.4878048780487805,0.45459999999999995,0.69,0.1337313432835821
93,2011-01-05,1,0,1,0,0,3,1,Sunny,0.2,0.2576,0.64,0.0,0,6,6,Springer,0.4878048780487805,0.5152,0.64,0.0
94,2011-01-05,1,0,1,1,0,3,1,Sunny,0.16,0.197,0.74,0.0896,0,6,6,Springer,0.3902439024390244,0.394,0.74,0.1337313432835821
95,2011-01-05,1,0,1,2,0,3,1,Sunny,0.16,0.197,0.74,0.0896,0,2,2,Springer,0.3902439024390244,0.394,0.74,0.1337313432835821
96,2011-01-05,1,0,1,4,0,3,1,Sunny,0.24,0.2273,0.48,0.2239,0,2,2,Springer,0.5853658536585366,0.45459999999999995,0.48,0.3341791044776119
97,2011-01-05,1,0,1,5,0,3,1,Sunny,0.22,0.2273,0.47,0.1642,0,3,3,Springer,0.5365853658536586,0.45459999999999995,0.4699999999999999,0.24507462686567164
98,2011-01-05,1,0,1,6,0,3,1,Sunny,0.2,0.197,0.47,0.2239,0,33,33,Springer,0.4878048780487805,0.394,0.4699999999999999,0.3341791044776119
99,2011-01-05,1,0,1,7,0,3,1,Sunny,0.18,0.1818,0.43,0.194,1,87,88,Springer,0.4390243902439024,0.3636,0.43,0.2895522388059702
100,2011-01-05,1,0,1,8,0,3,1,Sunny,0.2,0.1818,0.4,0.2985,3,192,195,Springer,0.4878048780487805,0.3636,0.4,0.4455223880597015
101,2011-01-05,1,0,1,9,0,3,1,Sunny,0.22,0.197,0.37,0.3284,6,109,115,Springer,0.5365853658536586,0.394,0.37,0.49014925373134327
102,2011-01-05,1,0,1,10,0,3,1,Sunny,0.22,0.197,0.37,0.3284,4,53,57,Springer,0.5365853658536586,0.394,0.37,0.49014925373134327
103,2011-01-05,1,0,1,11,0,3,1,Sunny,0.26,0.2273,0.33,0.3284,12,34,46,Springer,0.6341463414634146,0.45459999999999995,0.33,0.49014925373134327
104,2011-01-05,1,0,1,12,0,3,1,Sunny,0.26,0.2273,0.33,0.3284,5,74,79,Springer,0.6341463414634146,0.45459999999999995,0.33,0.49014925373134327
105,2011-01-05,1,0,1,13,0,3,1,Sunny,0.28,0.2576,0.3,0.2985,6,65,71,Springer,0.6829268292682927,0.5152,0.3,0.4455223880597015
106,2011-01-05,1,0,1,14,0,3,1,Sunny,0.3,0.2879,0.28,0.194,10,52,62,Springer,0.7317073170731707,0.5758,0.28,0.2895522388059702
107,2011-01-05,1,0,1,15,0,3,1,Sunny,0.3,0.2879,0.28,0.194,7,55,62,Springer,0.7317073170731707,0.5758,0.28,0.2895522388059702
108,2011-01-05,1,0,1,16,0,3,1,Sunny,0.3,0.3182,0.28,0.0896,4,85,89,Springer,0.7317073170731707,0.6364,0.28,0.1337313432835821
109,2011-01-05,1,0,1,17,0,3,1,Sunny,0.24,0.2273,0.38,0.194,4,186,190,Springer,0.5853658536585366,0.45459999999999995,0.38,0.2895522388059702
110,2011-01-05,1,0,1,18,0,3,1,Sunny,0.24,0.2424,0.38,0.1343,3,166,169,Springer,0.5853658536585366,0.4848,0.38,0.20044776119402985
111,2011-01-05,1,0,1,19,0,3,1,Sunny,0.24,0.2576,0.38,0.1045,5,127,132,Springer,0.5853658536585366,0.5152,0.38,0.15597014925373134
112,2011-01-05,1,0,1,20,0,3,1,Sunny,0.22,0.2273,0.47,0.1642,7,82,89,Springer,0.5365853658536586,0.45459999999999995,0.4699999999999999,0.24507462686567164
113,2011-01-05,1,0,1,21,0,3,1,Sunny,0.2,0.197,0.51,0.194,3,40,43,Springer,0.4878048780487805,0.394,0.51,0.2895522388059702
114,2011-01-05,1,0,1,22,0,3,1,Sunny,0.18,0.197,0.55,0.1343,1,41,42,Springer,0.4390243902439024,0.394,0.55,0.20044776119402985
115,2011-01-05,1,0,1,23,0,3,1,Sunny,0.2,0.2576,0.47,0.0,1,18,19,Springer,0.4878048780487805,0.5152,0.4699999999999999,0.0
116,2011-01-06,1,0,1,0,0,4,1,Sunny,0.18,0.2424,0.55,0.0,0,11,11,Springer,0.4390243902439024,0.4848,0.55,0.0
117,2011-01-06,1,0,1,1,0,4,1,Sunny,0.16,0.2273,0.64,0.0,0,4,4,Springer,0.3902439024390244,0.45459999999999995,0.64,0.0
118,2011-01-06,1,0,1,2,0,4,1,Sunny,0.16,0.2273,0.64,0.0,0,2,2,Springer,0.3902439024390244,0.45459999999999995,0.64,0.0
119,2011-01-06,1,0,1,4,0,4,1,Cloudy,0.16,0.197,0.64,0.0896,0,1,1,Springer,0.3902439024390244,0.394,0.64,0.1337313432835821
120,2011-01-06,1,0,1,5,0,4,1,Cloudy,0.14,0.1818,0.69,0.0896,0,4,4,Springer,0.34146341463414637,0.3636,0.69,0.1337313432835821
121,2011-01-06,1,0,1,6,0,4,1,Cloudy,0.14,0.1667,0.63,0.1045,0,36,36,Springer,0.34146341463414637,0.3334,0.63,0.15597014925373134
122,2011-01-06,1,0,1,7,0,4,1,Cloudy,0.16,0.2273,0.59,0.0,0,95,95,Springer,0.3902439024390244,0.45459999999999995,0.59,0.0
123,2011-01-06,1,0,1,8,0,4,1,Sunny,0.16,0.2273,0.59,0.0,3,216,219,Springer,0.3902439024390244,0.45459999999999995,0.59,0.0
124,2011-01-06,1,0,1,9,0,4,1,Cloudy,0.18,0.2424,0.51,0.0,6,116,122,Springer,0.4390243902439024,0.4848,0.51,0.0
125,2011-01-06,1,0,1,10,0,4,1,Sunny,0.2,0.2576,0.47,0.0,3,42,45,Springer,0.4878048780487805,0.5152,0.4699999999999999,0.0
126,2011-01-06,1,0,1,11,0,4,1,Sunny,0.22,0.2576,0.44,0.0896,2,57,59,Springer,0.5365853658536586,0.5152,0.44,0.1337313432835821
127,2011-01-06,1,0,1,12,0,4,1,Sunny,0.26,0.2879,0.35,0.0,6,78,84,Springer,0.6341463414634146,0.5758,0.35,0.0
128,2011-01-06,1,0,1,13,0,4,1,Sunny,0.26,0.2727,0.35,0.1045,12,55,67,Springer,0.6341463414634146,0.5454,0.35,0.15597014925373134
129,2011-01-06,1,0,1,14,0,4,1,Sunny,0.28,0.2727,0.36,0.1642,11,59,70,Springer,0.6829268292682927,0.5454,0.36,0.24507462686567164
130,2011-01-06,1,0,1,15,0,4,1,Sunny,0.28,0.2727,0.36,0.0,8,54,62,Springer,0.6829268292682927,0.5454,0.36,0.0
131,2011-01-06,1,0,1,16,0,4,1,Sunny,0.26,0.2576,0.38,0.1642,12,74,86,Springer,0.6341463414634146,0.5152,0.38,0.24507462686567164
132,2011-01-06,1,0,1,17,0,4,1,Sunny,0.22,0.2273,0.51,0.1642,9,163,172,Springer,0.5365853658536586,0.45459999999999995,0.51,0.24507462686567164
133,2011-01-06,1,0,1,18,0,4,1,Sunny,0.22,0.2273,0.51,0.1343,5,158,163,Springer,0.5365853658536586,0.45459999999999995,0.51,0.20044776119402985
134,2011-01-06,1,0,1,19,0,4,1,Sunny,0.22,0.2576,0.55,0.0896,3,109,112,Springer,0.5365853658536586,0.5152,0.55,0.1337313432835821
135,2011-01-06,1,0,1,20,0,4,1,Sunny,0.2,0.2121,0.51,0.1642,3,66,69,Springer,0.4878048780487805,0.4242,0.51,0.24507462686567164
136,2011-01-06,1,0,1,21,0,4,1,Cloudy,0.22,0.2121,0.55,0.2239,0,48,48,Springer,0.5365853658536586,0.4242,0.55,0.3341791044776119
137,2011-01-06,1,0,1,22,0,4,1,Cloudy,0.22,0.2121,0.51,0.2836,1,51,52,Springer,0.5365853658536586,0.4242,0.51,0.42328358208955225
138,2011-01-06,1,0,1,23,0,4,1,Cloudy,0.2,0.197,0.59,0.194,4,19,23,Springer,0.4878048780487805,0.394,0.59,0.2895522388059702
139,2011-01-07,1,0,1,0,0,5,1,Cloudy,0.2,0.197,0.64,0.194,4,13,17,Springer,0.4878048780487805,0.394,0.64,0.2895522388059702
140,2011-01-07,1,0,1,1,0,5,1,Cloudy,0.2,0.197,0.69,0.2239,2,5,7,Springer,0.4878048780487805,0.394,0.69,0.3341791044776119
141,2011-01-07,1,0,1,2,0,5,1,Cloudy,0.2,0.197,0.69,0.2239,0,1,1,Springer,0.4878048780487805,0.394,0.69,0.3341791044776119
142,2011-01-07,1,0,1,4,0,5,1,Cloudy,0.2,0.2121,0.69,0.1343,0,1,1,Springer,0.4878048780487805,0.4242,0.69,0.20044776119402985
143,2011-01-07,1,0,1,5,0,5,1,Rainy,0.22,0.2727,0.55,0.0,0,5,5,Springer,0.5365853658536586,0.5454,0.55,0.0
144,2011-01-07,1,0,1,6,0,5,1,Cloudy,0.2,0.2576,0.69,0.0,8,26,34,Springer,0.4878048780487805,0.5152,0.69,0.0
145,2011-01-07,1,0,1,7,0,5,1,Sunny,0.2,0.2121,0.69,0.1343,8,76,84,Springer,0.4878048780487805,0.4242,0.69,0.20044776119402985
146,2011-01-07,1,0,1,8,0,5,1,Sunny,0.2,0.197,0.51,0.2537,20,190,210,Springer,0.4878048780487805,0.394,0.51,0.37865671641791043
147,2011-01-07,1,0,1,9,0,5,1,Sunny,0.2,0.1818,0.47,0.2985,9,125,134,Springer,0.4878048780487805,0.3636,0.4699999999999999,0.4455223880597015
148,2011-01-07,1,0,1,10,0,5,1,Sunny,0.22,0.197,0.37,0.3284,16,47,63,Springer,0.5365853658536586,0.394,0.37,0.49014925373134327
149,2011-01-07,1,0,1,11,0,5,1,Cloudy,0.2,0.197,0.4,0.2239,19,48,67,Springer,0.4878048780487805,0.394,0.4,0.3341791044776119
150,2011-01-07,1,0,1,12,0,5,1,Cloudy,0.2,0.197,0.37,0.2537,9,50,59,Springer,0.4878048780487805,0.394,0.37,0.37865671641791043
151,2011-01-07,1,0,1,13,0,5,1,Cloudy,0.2,0.1818,0.37,0.2836,9,64,73,Springer,0.4878048780487805,0.3636,0.37,0.42328358208955225
152,2011-01-07,1,0,1,14,0,5,1,Cloudy,0.2,0.197,0.4,0.2537,7,43,50,Springer,0.4878048780487805,0.394,0.4,0.37865671641791043
153,2011-01-07,1,0,1,15,0,5,1,Cloudy,0.2,0.2121,0.37,0.1642,9,63,72,Springer,0.4878048780487805,0.4242,0.37,0.24507462686567164
154,2011-01-07,1,0,1,16,0,5,1,Cloudy,0.2,0.2121,0.37,0.1642,5,82,87,Springer,0.4878048780487805,0.4242,0.37,0.24507462686567164
155,2011-01-07,1,0,1,17,0,5,1,Cloudy,0.2,0.2576,0.37,0.0,9,178,187,Springer,0.4878048780487805,0.5152,0.37,0.0
156,2011-01-07,1,0,1,18,0,5,1,Sunny,0.2,0.2273,0.4,0.0896,7,116,123,Springer,0.4878048780487805,0.45459999999999995,0.4,0.1337313432835821
157,2011-01-07,1,0,1,19,0,5,1,Sunny,0.16,0.197,0.55,0.0896,3,92,95,Springer,0.3902439024390244,0.394,0.55,0.1337313432835821
158,2011-01-07,1,0,1,20,0,5,1,Sunny,0.18,0.2121,0.47,0.1045,1,50,51,Springer,0.4390243902439024,0.4242,0.4699999999999999,0.15597014925373134
159,2011-01-07,1,0,1,21,0,5,1,Sunny,0.18,0.197,0.47,0.1343,0,39,39,Springer,0.4390243902439024,0.394,0.4699999999999999,0.20044776119402985
160,2011-01-07,1,0,1,22,0,5,1,Cloudy,0.18,0.197,0.43,0.1642,2,34,36,Springer,0.4390243902439024,0.394,0.43,0.24507462686567164
161,2011-01-07,1,0,1,23,0,5,1,Cloudy,0.18,0.197,0.51,0.1642,1,14,15,Springer,0.4390243902439024,0.394,0.51,0.24507462686567164
162,2011-01-08,1,0,1,0,0,6,0,Cloudy,0.18,0.197,0.51,0.1642,1,24,25,Springer,0.4390243902439024,0.394,0.51,0.24507462686567164
163,2011-01-08,1,0,1,1,0,6,0,Cloudy,0.18,0.2121,0.55,0.0896,1,15,16,Springer,0.4390243902439024,0.4242,0.55,0.1337313432835821
164,2011-01-08,1,0,1,2,0,6,0,Cloudy,0.18,0.2424,0.55,0.0,3,13,16,Springer,0.4390243902439024,0.4848,0.55,0.0
165,2011-01-08,1,0,1,3,0,6,0,Rainy,0.18,0.197,0.55,0.1642,0,7,7,Springer,0.4390243902439024,0.394,0.55,0.24507462686567164
166,2011-01-08,1,0,1,4,0,6,0,Rainy,0.18,0.197,0.55,0.1642,0,1,1,Springer,0.4390243902439024,0.394,0.55,0.24507462686567164
