instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr,season_str,temp_scaled,atemp_scaled,hum_scaled,windspeed_scaled
37,2011-02-06,1,0,2,0,0,0,Sunny,0.285833,0.291671,0.568333,0.1418,354,1269,1623,0,Springer,0.6971536585365854,0.583342,0.568333,0.21164179104477612
38,2011-02-07,1,0,2,0,1,1,Sunny,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,0,Springer,0.6626024390243903,0.607316,0.738333,0.06777358208955224
39,2011-02-08,1,0,2,0,2,1,Sunny,0.220833,0.198246,0.537917,0.36195,64,1466,1530,0,Springer,0.5386170731707317,0.396492,0.537917,0.540223880597015
40,2011-02-09,1,0,2,0,3,1,Cloudy,0.134783,0.144283,0.494783,0.188839,53,1552,1605,0,Springer,0.3287390243902439,0.288566,0.4947829999999999,0.2818492537313433
41,2011-02-10,1,0,2,0,4,1,Sunny,0.144348,0.149548,0.437391,0.221935,47,1491,1538,0,Springer,0.35206829268292683,0.299096,0.437391,0.3312462686567164
42,2011-02-11,1,0,2,0,5,1,Sunny,0.189091,0.213509,0.506364,0.10855,149,1597,1746,0,Springer,0.4611975609756098,0.427018,0.506364,0.16201492537313433
43,2011-02-12,1,0,2,0,6,0,Sunny,0.2225,0.232954,0.544167,0.203367,288,1184,1472,0,Springer,0.5426829268292683,0.46590799999999993,0.544167,0.3035328358208955
44,2011-02-13,1,0,2,0,0,0,Sunny,0.316522,0.324113,0.457391,0.260883,397,1192,1589,0,Springer,0.7720048780487806,0.648226,0.45739099999999994,0.38937761194029846
45,2011-02-14,1,0,2,0,1,1,Sunny,0.415,0.39835,0.375833,0.417908,208,1705,1913,0,Springer,1.0121951219512195,0.7967,0.375833,0.6237432835820895
46,2011-02-15,1,0,2,0,2,1,Sunny,0.266087,0.254274,0.314348,0.291374,140,1675,1815,0,Springer,0.6489926829268293,0.508548,0.314348,0.4348865671641791
47,2011-02-16,1,0,2,0,3,1,Sunny,0.318261,0.3162,0.423478,0.251791,218,1897,2115,0,Springer,0.7762463414634148,0.6324,0.423478,0.3758074626865672
48,2011-02-17,1,0,2,0,4,1,Sunny,0.435833,0.428658,0.505,0.230104,259,2216,2475,0,Springer,1.0630073170731709,0.857316,0.505,0.34343880597014925
49,2011-02-18,1,0,2,0,5,1,Sunny,0.521667,0.511983,0.516667,0.264925,579,2348,2927,0,Springer,1.2723585365853658,1.023966,0.516667,0.39541044776119405
50,2011-02-19,1,0,2,0,6,0,Sunny,0.399167,0.391404,0.187917,0.507463,532,1103,1635,0,Springer,0.9735780487804877,0.782808,0.187917,0.7574074626865671
51,2011-02-20,1,0,2,0,0,0,Sunny,0.285217,0.27733,0.407826,0.223235,639,1173,1812,0,Springer,0.6956512195121951,0.55466,0.407826,0.3331865671641791
52,2011-02-21,1,0,2,1,1,0,Cloudy,0.303333,0.284075,0.605,0.307846,195,912,1107,0,Springer,0.7398365853658537,0.56815,0.605,0.4594716417910448
53,2011-02-22,1,0,2,0,2,1,Sunny,0.182222,0.186033,0.577778,0.195683,74,1376,1450,0,Springer,0.4444439024390244,0.372066,0.577778,0.2920641791044776
54,2011-02-23,1,0,2,0,3,1,Sunny,0.221739,0.245717,0.423043,0.094113,139,1778,1917,0,Springer,0.5408268292682926,0.491434,0.42304300000000006,0.14046716417910446
55,2011-02-24,1,0,2,0,4,1,Cloudy,0.295652,0.289191,0.697391,0.250496,100,1707,1807,0,Springer,0.7211024390243903,0.578382,0.697391,0.37387462686567163
56,2011-02-25,1,0,2,0,5,1,Cloudy,0.364348,0.350461,0.712174,0.346539,120,1341,1461,0,Springer,0.8886536585365854,0.700922,0.712174,0.5172223880597014
57,2011-02-26,1,0,2,0,6,0,Sunny,0.2825,0.282192,0.537917,0.186571,424,1545,1969,0,Springer,0.6890243902439024,0.564384,0.537917,0.27846417910447757
58,2011-02-27,1,0,2,0,0,0,Sunny,0.343478,0.351109,0.68,0.125248,694,1708,2402,0,Springer,0.8377512195121952,0.702218,0.68,0.18693731343283582
59,2011-02-28,1,0,2,0,1,1,Cloudy,0.407273,0.400118,0.876364,0.289686,81,1365,1446,0,Springer,0.993348780487805,0.800236,0.8763639999999999,0.4323671641791045
60,2011-03-01,1,0,3,0,2,1,Sunny,0.266667,0.263879,0.535,0.216425,137,1714,1851,0,Springer,0.6504073170731708,0.527758,0.535,0.3230223880597015
61,2011-03-02,1,0,3,0,3,1,Sunny,0.335,0.320071,0.449583,0.307833,231,1903,2134,0,Springer,0.8170731707317074,0.640142,0.449583,0.4594522388059702
62,2011-03-03,1,0,3,0,4,1,Sunny,0.198333,0.200133,0.318333,0.225754,123,1562,1685,0,Springer,0.48373902439024397,0.400266,0.318333,0.33694626865671645
63,2011-03-04,1,0,3,0,5,1,Cloudy,0.261667,0.255679,0.610417,0.203346,214,1730,1944,0,Springer,0.6382121951219513,0.511358,0.610417,0.30350149253731346
64,2011-03-05,1,0,3,0,6,0,Cloudy,0.384167,0.378779,0.789167,0.251871,640,1437,2077,0,Springer,0.9369926829268291,0.757558,0.789167,0.37592686567164185
65,2011-03-06,1,0,3,0,0,0,Cloudy,0.376522,0.366252,0.948261,0.343287,114,491,605,0,Springer,0.9183463414634148,0.732504,0.948261,0.5123686567164178
66,2011-03-07,1,0,3,0,1,1,Sunny,0.261739,0.238461,0.551304,0.341352,244,1628,1872,0,Springer,0.6383878048780487,0.476922,0.551304,0.5094805970149253
67,2011-03-08,1,0,3,0,2,1,Sunny,0.2925,0.3024,0.420833,0.12065,316,1817,2133,0,Springer,0.7134146341463414,0.6048,0.42083299999999996,0.18007462686567163
68,2011-03-09,1,0,3,0,3,1,Cloudy,0.295833,0.286608,0.775417,0.22015,191,1700,1891,0,Springer,0.7215439024390244,0.573216,0.775417,0.32858208955223883
69,2011-03-10,1,0,3,0,4,1,Rainy,0.389091,0.385668,0.0,0.261877,46,577,623,0,Springer,0.9490024390243903,0.771336,0.0,0.39086119402985076
70,2011-03-11,1,0,3,0,5,1,Cloudy,0.316522,0.305,0.649565,0.23297,247,1730,1977,0,Springer,0.7720048780487806,0.61,0.649565,0.3477164179104478
71,2011-03-12,1,0,3,0,6,0,Sunny,0.329167,0.32575,0.594583,0.220775,724,1408,2132,0,Springer,0.8028463414634146,0.6515,0.594583,0.32951492537313437
72,2011-03-13,1,0,3,0,0,0,Sunny,0.384348,0.380091,0.527391,0.270604,982,1435,2417,0,Springer,0.9374341463414635,0.760182,0.527391,0.4038865671641791
73,2011-03-14,1,0,3,0,1,1,Sunny,0.325217,0.332,0.496957,0.136926,359,1687,2046,0,Springer,0.7932121951219512,0.664,0.496957,0.20436716417910447
74,2011-03-15,1,0,3,0,2,1,Cloudy,0.317391,0.318178,0.655652,0.184309,289,1767,2056,0,Springer,0.7741243902439023,0.636356,0.655652,0.2750880597014926
75,2011-03-16,1,0,3,0,3,1,Cloudy,0.365217,0.36693,0.776522,0.203117,321,1871,2192,0,Springer,0.8907731707317074,0.73386,0.776522,0.3031597014925373
76,2011-03-17,1,0,3,0,4,1,Sunny,0.415,0.410333,0.602917,0.209579,424,2320,2744,0,Springer,1.0121951219512195,0.8206659999999999,0.602917,0.31280447761194025
77,2011-03-18,1,0,3,0,5,1,Sunny,0.54,0.527009,0.525217,0.231017,884,2355,3239,0,Springer,1.3170731707317074,1.054018,0.525217,0.3448014925373134
78,2011-03-19,1,0,3,0,6,0,Sunny,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,0,Springer,1.1524390243902438,0.93305,0.379167,0.5495029850746269
79,2011-03-20,1,0,3,0,0,0,Sunny,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,0,Springer,0.8109756097560976,0.6515,0.47375000000000006,0.3100313432835821
80,2011-03-21,2,0,3,0,1,1,Cloudy,0.430435,0.409735,0.737391,0.288783,401,1676,2077,0,Summer,1.0498414634146342,0.8194700000000001,0.737391,0.4310194029850747
81,2011-03-22,2,0,3,0,2,1,Sunny,0.441667,0.440642,0.624583,0.22575,460,2243,2703,0,Summer,1.0772365853658534,0.8812839999999998,0.624583,0.3369402985074627
82,2011-03-23,2,0,3,0,3,1,Cloudy,0.346957,0.337939,0.839565,0.234261,203,1918,2121,0,Summer,0.8462365853658538,0.675878,0.8395649999999999,0.3496432835820895
83,2011-03-24,2,0,3,0,4,1,Cloudy,0.285,0.270833,0.805833,0.243787,166,1699,1865,0,Summer,0.6951219512195121,0.541666,0.805833,0.36386119402985073
84,2011-03-25,2,0,3,0,5,1,Sunny,0.264167,0.256312,0.495,0.230725,300,1910,2210,0,Summer,0.644309756097561,0.512624,0.49499999999999994,0.34436567164179105
85,2011-03-26,2,0,3,0,6,0,Sunny,0.265833,0.257571,0.394167,0.209571,981,1515,2496,0,Summer,0.6483731707317073,0.515142,0.39416699999999993,0.3127925373134328
86,2011-03-27,2,0,3,0,0,0,Cloudy,0.253043,0.250339,0.493913,0.1843,472,1221,1693,0,Summer,0.6171780487804878,0.500678,0.493913,0.27507462686567163
87,2011-03-28,2,0,3,0,1,1,Sunny,0.264348,0.257574,0.302174,0.212204,222,1806,2028,0,Summer,0.6447512195121953,0.515148,0.302174,0.3167223880597015
88,2011-03-29,2,0,3,0,2,1,Sunny,0.3025,0.292908,0.314167,0.226996,317,2108,2425,0,Summer,0.7378048780487805,0.585816,0.314167,0.3388
89,2011-03-30,2,0,3,0,3,1,Cloudy,0.3,0.29735,0.646667,0.172888,168,1368,1536,0,Summer,0.7317073170731707,0.5947,0.646667,0.2580417910447761
90,2011-03-31,2,0,3,0,4,1,Rainy,0.268333,0.257575,0.918333,0.217646,179,1506,1685,0,Summer,0.6544707317073171,0.51515,0.918333,0.324844776119403
91,2011-04-01,2,0,4,0,5,1,Cloudy,0.3,0.283454,0.68625,0.258708,307,1920,2227,0,Summer,0.7317073170731707,0.566908,0.68625,0.3861313432835821
92,2011-04-02,2,0,4,0,6,0,Cloudy,0.315,0.315637,0.65375,0.197146,898,1354,2252,0,Summer,0.7682926829268293,0.631274,0.65375,0.2942477611940298
93,2011-04-03,2,0,4,0,0,0,Sunny,0.378333,0.378767,0.48,0.182213,1651,1598,3249,0,Summer,0.9227634146341464,0.757534,0.48,0.27195970149253734
94,2011-04-04,2,0,4,0,1,1,Sunny,0.573333,0.542929,0.42625,0.385571,734,2381,3115,0,Summer,1.3983731707317073,1.085858,0.42624999999999996,0.5754791044776119
95,2011-04-05,2,0,4,0,2,1,Cloudy,0.414167,0.39835,0.642083,0.388067,167,1628,1795,0,Summer,1.0101634146341463,0.7967,0.642083,0.5792044776119403
96,2011-04-06,2,0,4,0,3,1,Sunny,0.390833,0.387608,0.470833,0.263063,413,2395,2808,0,Summer,0.9532512195121952,0.775216,0.470833,0.39263134328358207
97,2011-04-07,2,0,4,0,4,1,Sunny,0.4375,0.433696,0.602917,0.162312,571,2570,3141,0,Summer,1.0670731707317074,0.8673919999999999,0.602917,0.24225671641791047
98,2011-04-08,2,0,4,0,5,1,Cloudy,0.335833,0.324479,0.83625,0.226992,172,1299,1471,0,Summer,0.8191048780487804,0.648958,0.83625,0.33879402985074625
99,2011-04-09,2,0,4,0,6,0,Cloudy,0.3425,0.341529,0.8775,0.133083,879,1576,2455,0,Summer,0.8353658536585367,0.683058,0.8775,0.1986313432835821
100,2011-04-10,2,0,4,0,0,0,Cloudy,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,0,Summer,1.040651219512195,0.8534739999999998,0.8575000000000002,0.21905522388059703
101,2011-04-11,2,0,4,0,1,1,Cloudy,0.595652,0.565217,0.716956,0.324474,855,2493,3348,0,Summer,1.4528097560975608,1.130434,0.716956,0.484289552238806
102,2011-04-12,2,0,4,0,2,1,Cloudy,0.5025,0.493054,0.739167,0.274879,257,1777,2034,0,Summer,1.225609756097561,0.986108,0.739167,0.4102671641791044
103,2011-04-13,2,0,4,0,3,1,Cloudy,0.4125,0.417283,0.819167,0.250617,209,1953,2162,0,Summer,1.0060975609756098,0.8345659999999999,0.819167,0.374055223880597
104,2011-04-14,2,0,4,0,4,1,Sunny,0.4675,0.462742,0.540417,0.1107,529,2738,3267,0,Summer,1.1402439024390245,0.925484,0.540417,0.16522388059701495
105,2011-04-15,2,0,4,1,5,0,Sunny,0.446667,0.441913,0.67125,0.226375,642,2484,3126,0,Summer,1.089431707317073,0.883826,0.67125,0.3378731343283582
106,2011-04-16,2,0,4,0,6,0,Rainy,0.430833,0.425492,0.888333,0.340808,121,674,795,0,Summer,1.0508121951219513,0.850984,0.888333,0.5086686567164179
107,2011-04-17,2,0,4,0,0,0,Sunny,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,0,Summer,1.113821951219512,0.8913919999999999,0.479583,0.45297910447761197
108,2011-04-18,2,0,4,0,1,1,Sunny,0.5125,0.503146,0.5425,0.163567,669,2760,3429,0,Summer,1.25,1.006292,0.5425,0.24412985074626867
109,2011-04-19,2,0,4,0,2,1,Cloudy,0.505833,0.489258,0.665833,0.157971,409,2795,3204,0,Summer,1.2337390243902437,0.9785160000000002,0.665833,0.2357776119402985
110,2011-04-20,2,0,4,0,3,1,Sunny,0.595,0.564392,0.614167,0.241925,613,3331,3944,0,Summer,1.451219512195122,1.128784,0.614167,0.3610820895522388
111,2011-04-21,2,0,4,0,4,1,Sunny,0.459167,0.453892,0.407083,0.325258,745,3444,4189,0,Summer,1.1199195121951218,0.907784,0.40708300000000003,0.4854597014925373
112,2011-04-22,2,0,4,0,5,1,Cloudy,0.336667,0.321954,0.729583,0.219521,177,1506,1683,0,Summer,0.8211390243902439,0.643908,0.729583,0.32764328358208955
113,2011-04-23,2,0,4,0,6,0,Cloudy,0.46,0.450121,0.887917,0.230725,1462,2574,4036,0,Summer,1.1219512195121952,0.9002420000000001,0.8879169999999998,0.34436567164179105
114,2011-04-24,2,0,4,0,0,0,Cloudy,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,0,Summer,1.4187,1.103526,0.810833,0.28682835820895525
115,2011-04-25,2,0,4,0,1,1,Sunny,0.606667,0.5745,0.776667,0.185333,773,3300,4073,0,Summer,1.4796756097560975,1.149,0.776667,0.2766164179104478
116,2011-04-26,2,0,4,0,2,1,Sunny,0.631667,0.594083,0.729167,0.3265,678,3722,4400,0,Summer,1.540651219512195,1.188166,0.729167,0.4873134328358209
117,2011-04-27,2,0,4,0,3,1,Cloudy,0.62,0.575142,0.835417,0.3122,547,3325,3872,0,Summer,1.5121951219512195,1.150284,0.835417,0.46597014925373137
118,2011-04-28,2,0,4,0,4,1,Cloudy,0.6175,0.578929,0.700833,0.320908,569,3489,4058,0,Summer,1.50609756097561,1.157858,0.700833,0.4789671641791045
119,2011-04-29,2,0,4,0,5,1,Sunny,0.51,0.497463,0.457083,0.240063,878,3717,4595,0,Summer,1.2439024390243902,0.994926,0.4570830000000001,0.3583029850746269
120,2011-04-30,2,0,4,0,6,0,Sunny,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,0,Summer,1.1524390243902438,0.9280420000000001,0.503333,0.3508582089552239
121,2011-05-01,2,0,5,0,0,0,Cloudy,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,0,Summer,1.1016268292682925,0.8964079999999999,0.762083,0.15873731343283584
122,2011-05-02,2,0,5,0,1,1,Cloudy,0.549167,0.532833,0.73,0.183454,847,3554,4401,0,Summer,1.3394317073170732,1.065666,0.73,0.2738119402985075
123,2011-05-03,2,0,5,0,2,1,Cloudy,0.616667,0.582079,0.697083,0.342667,603,3848,4451,0,Summer,1.5040658536585365,1.164158,0.697083,0.5114432835820896
124,2011-05-04,2,0,5,0,3,1,Cloudy,0.414167,0.40465,0.737083,0.328996,255,2378,2633,0,Summer,1.0101634146341463,0.8092999999999999,0.737083,0.49103880597014926
125,2011-05-05,2,0,5,0,4,1,Sunny,0.459167,0.441917,0.444167,0.295392,614,3819,4433,0,Summer,1.1199195121951218,0.883834,0.444167,0.44088358208955225
126,2011-05-06,2,0,5,0,5,1,Sunny,0.479167,0.474117,0.59,0.228246,894,3714,4608,0,Summer,1.1686999999999999,0.948234,0.59,0.340665671641791
127,2011-05-07,2,0,5,0,6,0,Sunny,0.52,0.512621,0.54125,0.16045,1612,3102,4714,0,Summer,1.2682926829268293,1.025242,0.54125,0.23947761194029854
128,2011-05-08,2,0,5,0,0,0,Sunny,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,0,Summer,1.2886170731707318,1.037866,0.631667,0.11139925373134327
129,2011-05-09,2,0,5,0,1,1,Sunny,0.5325,0.525246,0.58875,0.176,664,3698,4362,0,Summer,1.298780487804878,1.050492,0.58875,0.2626865671641791
130,2011-05-10,2,0,5,0,2,1,Sunny,0.5325,0.522721,0.489167,0.115671,694,4109,4803,0,Summer,1.298780487804878,1.045442,0.48916699999999996,0.17264328358208955
131,2011-05-11,2,0,5,0,3,1,Sunny,0.5425,0.5284,0.632917,0.120642,550,3632,4182,0,Summer,1.3231707317073171,1.0568,0.632917,0.18006268656716418
132,2011-05-12,2,0,5,0,4,1,Sunny,0.535,0.523363,0.7475,0.189667,695,4169,4864,0,Summer,1.3048780487804879,1.046726,0.7475,0.28308507462686566
133,2011-05-13,2,0,5,0,5,1,Cloudy,0.5125,0.4943,0.863333,0.179725,692,3413,4105,0,Summer,1.25,0.9886,0.863333,0.2682462686567164
134,2011-05-14,2,0,5,0,6,0,Cloudy,0.520833,0.500629,0.9225,0.13495,902,2507,3409,0,Summer,1.2703243902439023,1.001258,0.9225000000000001,0.2014179104477612
135,2011-05-15,2,0,5,0,0,0,Cloudy,0.5625,0.536,0.867083,0.152979,1582,2971,4553,0,Summer,1.3719512195121952,1.072,0.867083,0.2283268656716418
136,2011-05-16,2,0,5,0,1,1,Sunny,0.5775,0.550512,0.787917,0.126871,773,3185,3958,0,Summer,1.4085365853658538,1.101024,0.787917,0.18935970149253734
137,2011-05-17,2,0,5,0,2,1,Cloudy,0.561667,0.538529,0.837917,0.277354,678,3445,4123,0,Summer,1.369919512195122,1.077058,0.837917,0.4139611940298507
138,2011-05-18,2,0,5,0,3,1,Cloudy,0.55,0.527158,0.87,0.201492,536,3319,3855,0,Summer,1.3414634146341464,1.054316,0.8699999999999999,0.30073432835820896
139,2011-05-19,2,0,5,0,4,1,Cloudy,0.530833,0.510742,0.829583,0.108213,735,3840,4575,0,Summer,1.2947146341463414,1.021484,0.8295829999999998,0.16151194029850746
140,2011-05-20,2,0,5,0,5,1,Sunny,0.536667,0.529042,0.719583,0.125013,909,4008,4917,0,Summer,1.3089439024390244,1.058084,0.719583,0.18658656716417912
141,2011-05-21,2,0,5,0,6,0,Sunny,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,0,Summer,1.4695121951219514,1.14395,0.626667,0.18007462686567163
142,2011-05-22,2,0,5,0,0,0,Sunny,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,0,Summer,1.473578048780488,1.149,0.749583,0.22090746268656714
143,2011-05-23,2,0,5,0,1,1,Cloudy,0.631667,0.590296,0.81,0.233842,836,3438,4274,0,Summer,1.540651219512195,1.180592,0.8100000000000002,0.3490179104477612
144,2011-05-24,2,0,5,0,2,1,Cloudy,0.66,0.604813,0.740833,0.207092,659,3833,4492,0,Summer,1.6097560975609757,1.209626,0.740833,0.30909253731343284
145,2011-05-25,2,0,5,0,3,1,Sunny,0.660833,0.615542,0.69625,0.154233,740,4238,4978,0,Summer,1.611787804878049,1.231084,0.69625,0.23019850746268658
146,2011-05-26,2,0,5,0,4,1,Sunny,0.708333,0.654688,0.6775,0.199642,758,3919,4677,0,Summer,1.727641463414634,1.309376,0.6775,0.2979731343283582
147,2011-05-27,2,0,5,0,5,1,Sunny,0.681667,0.637008,0.65375,0.240679,871,3808,4679,0,Summer,1.6626024390243903,1.274016,0.65375,0.35922238805970147
148,2011-05-28,2,0,5,0,6,0,Sunny,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,0,Summer,1.5995926829268294,1.224758,0.729583,0.343420895522388
149,2011-05-29,2,0,5,0,0,0,Sunny,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,0,Summer,1.628048780487805,1.2311,0.8187500000000001,0.319310447761194
150,2011-05-30,2,0,5,1,1,0,Sunny,0.733333,0.671092,0.685,0.131225,1549,2549,4098,0,Summer,1.7886170731707316,1.342184,0.685,0.19585820895522388
151,2011-05-31,2,0,5,0,2,1,Sunny,0.775,0.725383,0.636667,0.111329,673,3309,3982,0,Summer,1.8902439024390243,1.450766,0.636667,0.16616268656716418
152,2011-06-01,2,0,6,0,3,1,Cloudy,0.764167,0.720967,0.677083,0.207092,513,3461,3974,0,Summer,1.8638219512195124,1.441934,0.677083,0.30909253731343284
153,2011-06-02,2,0,6,0,4,1,Sunny,0.715,0.643942,0.305,0.292287,736,4232,4968,0,Summer,1.74390243902439,1.287884,0.305,0.4362492537313433
154,2011-06-03,2,0,6,0,5,1,Sunny,0.62,0.587133,0.354167,0.253121,898,4414,5312,0,Summer,1.5121951219512195,1.174266,0.354167,0.3777925373134328
155,2011-06-04,2,0,6,0,6,0,Sunny,0.635,0.594696,0.45625,0.123142,1869,3473,5342,0,Summer,1.548780487804878,1.189392,0.45625,0.18379402985074625
